Order_ID,Order_Date,Region,Segment,Category,Product,Quantity,Unit_Price,Discount,Sales,Profit,Year,Month,Profit_Margin
ORD-104589,2024-01-01,Central,Small Business,Beauty,Shampoo,2,39.53,0.0,53.37,29.35,2024,2024-01,0.55
ORD-100424,2024-01-01,North,Consumer,Electronics,Headphones,5,98.64,0.15,626.73,137.88,2024,2024-01,0.22
ORD-102831,2024-01-01,East,Consumer,Home & Kitchen,Lamp,5,128.64,0.05,673.67,255.99,2024,2024-01,0.38
ORD-103875,2024-01-01,South,Small Business,Apparel,Jeans,3,70.56,0.05,162.39,73.08,2024,2024-01,0.45
ORD-100259,2024-01-01,North,Corporate,Beauty,Shampoo,4,29.06,0.2,96.25,52.94,2024,2024-01,0.55
ORD-105651,2024-01-01,Central,Small Business,Beauty,Shampoo,2,43.97,0.3,41.55,-61.63,2024,2024-01,-1.483
ORD-100108,2024-01-01,South,Small Business,Apparel,Cap,2,78.34,0.15,107.54,48.39,2024,2024-01,0.45
ORD-101449,2024-01-01,North,Corporate,Beauty,Shampoo,4,27.84,0.15,97.97,53.88,2024,2024-01,0.55
ORD-101472,2024-01-01,East,Consumer,Beauty,Moisturizer,2,38.44,0.3,50.86,27.97,2024,2024-01,0.55
ORD-105840,2024-01-02,South,Small Business,Beauty,Shampoo,3,31.06,0.1,64.15,35.28,2024,2024-01,0.55
ORD-102264,2024-01-02,Central,Corporate,Beauty,Moisturizer,1,30.31,0.05,19.44,10.69,2024,2024-01,0.55
ORD-105515,2024-01-02,Central,Consumer,Apparel,Cap,3,79.63,0.2,136.17,61.28,2024,2024-01,0.45
ORD-105123,2024-01-02,Central,Corporate,Home & Kitchen,Air Fryer,4,65.63,0.0,206.73,78.56,2024,2024-01,0.38
ORD-100207,2024-01-02,East,Corporate,Sports,Yoga Mat,3,60.41,0.1,137.01,57.54,2024,2024-01,0.42
ORD-102079,2024-01-02,West,Corporate,Beauty,Lipstick,2,23.81,0.0,51.43,28.29,2024,2024-01,0.55
ORD-101139,2024-01-03,West,Consumer,Sports,Running Shoes,1,94.79,0.3,63.7,26.75,2024,2024-01,0.42
ORD-102645,2024-01-03,East,Consumer,Electronics,Headphones,5,892.88,0.15,5179.82,1139.56,2024,2024-01,0.22
ORD-103096,2024-01-03,West,Corporate,Electronics,Smartphone,1,486.06,0.0,758.25,166.81,2024,2024-01,0.22
ORD-104834,2024-01-03,South,Consumer,Apparel,T-Shirt,3,65.68,0.15,135.24,60.86,2024,2024-01,0.45
ORD-100730,2024-01-03,North,Consumer,Apparel,Cap,2,30.41,0.15,56.48,25.42,2024,2024-01,0.45
ORD-101196,2024-01-04,West,Consumer,Home & Kitchen,Lamp,3,41.37,0.0,156.38,59.42,2024,2024-01,0.38
ORD-104275,2024-01-04,South,Corporate,Sports,Water Bottle,5,116.86,0.05,377.46,158.53,2024,2024-01,0.42
ORD-100820,2024-01-04,East,Small Business,Home & Kitchen,Vacuum Cleaner,4,36.86,0.15,138.17,52.5,2024,2024-01,0.38
ORD-100392,2024-01-04,North,Consumer,Beauty,Lipstick,1,36.88,0.0,38.17,20.99,2024,2024-01,0.55
ORD-100948,2024-01-04,North,Corporate,Electronics,Laptop,4,103.25,0.0,617.44,135.84,2024,2024-01,0.22
ORD-105536,2024-01-04,East,Consumer,Home & Kitchen,Cookware Set,2,130.78,0.0,288.37,109.58,2024,2024-01,0.38
ORD-103464,2024-01-04,Central,Corporate,Sports,Running Shoes,2,15.7,0.0,18.84,7.91,2024,2024-01,0.42
ORD-105501,2024-01-04,Central,Consumer,Apparel,Jacket,4,22.49,0.1,57.69,25.96,2024,2024-01,0.45
ORD-104178,2024-01-05,South,Small Business,Beauty,Perfume,5,55.96,0.0,214.05,117.73,2024,2024-01,0.55
ORD-100025,2024-01-05,West,Corporate,Sports,Running Shoes,2,61.33,0.05,111.87,46.99,2024,2024-01,0.42
ORD-105187,2024-01-05,Central,Corporate,Electronics,Smartphone,1,423.19,0.0,412.61,90.77,2024,2024-01,0.22
ORD-100019,2024-01-05,South,Corporate,Apparel,Jacket,3,66.97,0.1,146.01,65.7,2024,2024-01,0.45
ORD-102091,2024-01-05,South,Small Business,Electronics,Smartwatch,2,413.2,0.05,867.51,190.85,2024,2024-01,0.22
ORD-103849,2024-01-06,Central,Consumer,Apparel,Cap,1,76.33,0.05,51.67,23.25,2024,2024-01,0.45
ORD-100324,2024-01-06,West,Consumer,Electronics,Tablet,5,459.05,0.1,3222.53,708.96,2024,2024-01,0.22
ORD-102894,2024-01-06,South,Small Business,Electronics,Tablet,4,763.96,0.0,3376.7,742.87,2024,2024-01,0.22
ORD-103102,2024-01-06,North,Corporate,Sports,Running Shoes,5,138.55,0.1,573.6,240.91,2024,2024-01,0.42
ORD-105200,2024-01-06,North,Consumer,Home & Kitchen,Blender,3,29.39,0.1,95.82,36.41,2024,2024-01,0.38
ORD-100226,2024-01-06,Central,Corporate,Beauty,Face Wash,4,31.82,0.05,81.62,44.89,2024,2024-01,0.55
ORD-103233,2024-01-06,East,Consumer,Beauty,Lipstick,3,43.53,0.0,123.41,67.88,2024,2024-01,0.55
ORD-100529,2024-01-07,East,Consumer,Apparel,Cap,1,59.3,0.1,53.24,23.96,2024,2024-01,0.45
ORD-100618,2024-01-07,West,Corporate,Beauty,Lipstick,2,26.98,0.0,58.28,32.05,2024,2024-01,0.55
ORD-102208,2024-01-07,South,Corporate,Home & Kitchen,Cookware Set,4,46.78,0.1,150.3,57.11,2024,2024-01,0.38
ORD-103461,2024-01-07,West,Consumer,Apparel,Jeans,4,38.63,0.05,167.35,75.31,2024,2024-01,0.45
ORD-100136,2024-01-07,Central,Corporate,Beauty,Face Wash,4,15.7,0.0,42.39,23.31,2024,2024-01,0.55
ORD-101920,2024-01-08,Central,Corporate,Electronics,Headphones,3,311.36,0.0,910.73,200.36,2024,2024-01,0.22
ORD-103399,2024-01-08,Central,Consumer,Sports,Dumbbell Set,1,42.94,0.1,23.19,9.74,2024,2024-01,0.42
ORD-103551,2024-01-08,North,Consumer,Electronics,Smartphone,4,810.03,0.1,4359.58,959.11,2024,2024-01,0.22
ORD-105265,2024-01-08,Central,Corporate,Sports,Yoga Mat,5,59.52,0.1,160.7,67.49,2024,2024-01,0.42
ORD-100246,2024-01-08,West,Consumer,Electronics,Laptop,5,397.45,0.1,2790.1,613.82,2024,2024-01,0.22
ORD-104823,2024-01-09,South,Small Business,Apparel,Jeans,3,29.33,0.0,71.05,31.97,2024,2024-01,0.45
ORD-103484,2024-01-09,South,Consumer,Beauty,Face Wash,5,15.13,0.05,54.98,30.24,2024,2024-01,0.55
ORD-102755,2024-01-09,East,Corporate,Sports,Yoga Mat,2,20.57,0.0,34.56,14.52,2024,2024-01,0.42
ORD-102025,2024-01-09,West,Corporate,Home & Kitchen,Vacuum Cleaner,5,150.06,0.05,898.11,341.28,2024,2024-01,0.38
ORD-104075,2024-01-09,West,Corporate,Electronics,Smartphone,2,697.33,0.05,2066.89,454.72,2024,2024-01,0.22
ORD-101654,2024-01-09,North,Small Business,Beauty,Lipstick,4,47.58,0.2,157.58,86.67,2024,2024-01,0.55
ORD-102541,2024-01-09,West,Consumer,Beauty,Lipstick,5,36.62,0.05,187.86,103.32,2024,2024-01,0.55
ORD-104996,2024-01-09,South,Consumer,Beauty,Moisturizer,1,8.83,0.15,5.74,3.16,2024,2024-01,0.551
ORD-100251,2024-01-09,Central,Consumer,Beauty,Perfume,3,51.64,0.0,104.57,57.51,2024,2024-01,0.55
ORD-104550,2024-01-10,East,Consumer,Beauty,Lipstick,3,13.14,0.1,33.53,18.44,2024,2024-01,0.55
